Record Date,State,Interest Rate Percent,Record Fiscal Year,Record Fiscal Quarter,Record Calendar Year,Record Calendar Month
2016-11-04,Connecticut,2.22559842,2017,1,2016,4
2016-11-04,Delaware,2.22559842,2017,1,2016,4
2016-11-04,Indiana,2.22559842,2017,1,2016,4
2016-11-04,Kentucky,2.22559842,2017,1,2016,4
2016-11-04,New York,2.22559842,2017,1,2016,4
2016-11-04,North Carolina,2.22559842,2017,1,2016,4
2016-11-04,Ohio,2.22559842,2017,1,2016,4
2016-11-04,Rhode Island,2.22559842,2017,1,2016,4
2016-11-04,South Carolina,2.22559842,2017,1,2016,4
2016-11-04,Virgin Islands,2.22559842,2017,1,2016,4
2016-11-07,Arizona,2.22559842,2017,1,2016,4
2016-11-07,Arkansas,2.22559842,2017,1,2016,4
2016-11-07,California,2.22559842,2017,1,2016,4
2016-11-07,Connecticut,2.22559842,2017,1,2016,4
2016-11-07,Delaware,2.22559842,2017,1,2016,4
2016-11-07,Indiana,2.22559842,2017,1,2016,4
2016-11-07,Kentucky,2.22559842,2017,1,2016,4
2016-11-07,New York,2.22559842,2017,1,2016,4
2016-11-07,North Carolina,2.22559842,2017,1,2016,4
2016-11-07,Ohio,2.22559842,2017,1,2016,4
2016-11-07,Rhode Island,2.22559842,2017,1,2016,4
2016-11-07,South Carolina,2.22559842,2017,1,2016,4
2016-11-07,Virgin Islands,2.22559842,2017,1,2016,4
2016-11-08,Arizona,2.22559842,2017,1,2016,4
2016-11-08,Arkansas,2.22559842,2017,1,2016,4
2016-11-08,California,2.22559842,2017,1,2016,4
2016-11-08,Connecticut,2.22559842,2017,1,2016,4
2016-11-08,Delaware,2.22559842,2017,1,2016,4
2016-11-08,Indiana,2.22559842,2017,1,2016,4
2016-11-08,Kentucky,2.22559842,2017,1,2016,4
2016-11-08,New York,2.22559842,2017,1,2016,4
2016-11-08,North Carolina,2.22559842,2017,1,2016,4
2016-11-08,Ohio,2.22559842,2017,1,2016,4
2016-11-08,Rhode Island,2.22559842,2017,1,2016,4
2016-11-08,South Carolina,2.22559842,2017,1,2016,4
2016-11-08,Virgin Islands,2.22559842,2017,1,2016,4
2016-11-09,Arizona,2.22559842,2017,1,2016,4
2016-11-09,Arkansas,2.22559842,2017,1,2016,4
2016-11-09,California,2.22559842,2017,1,2016,4
2016-11-09,Connecticut,2.22559842,2017,1,2016,4
2016-11-09,Delaware,2.22559842,2017,1,2016,4
2016-11-09,Indiana,2.22559842,2017,1,2016,4
